category,brand,addr
치킨,페리카나,울산광역시 울주군
치킨,페리카나,부산광역시 사하구
치킨,페리카나,인천광역시 부평구
치킨,페리카나,경기도 포천시
치킨,페리카나,인천광역시 계양구
치킨,페리카나,충청북도 진천군
치킨,페리카나,충청남도 천안시서북구
치킨,페리카나,경기도 남양주시
치킨,페리카나,경상북도 칠곡군
치킨,페리카나,인천광역시 남동구
치킨,페리카나,경상북도 포항시남구
치킨,페리카나,경기도 안성시
치킨,페리카나,경기도 광명시
치킨,페리카나,경기도 김포시
치킨,페리카나,경기도 동두천시
치킨,페리카나,충청북도 영동군
치킨,페리카나,대전광역시 동구
치킨,페리카나,부산광역시 남구
치킨,페리카나,경기도 부천시원미구
치킨,페리카나,강원도 원주시
치킨,페리카나,경상북도 포항시남구
치킨,페리카나,경상북도 포항시북구
치킨,페리카나,대전광역시 유성구
치킨,페리카나,경기도 안성시
치킨,페리카나,울산광역시 남구
치킨,페리카나,제주특별자치도 서귀포시
치킨,페리카나,경기도 이천시
치킨,페리카나,서울특별시 강남구
치킨,페리카나,경기도 안산시단원구
치킨,페리카나,경기도 연천군
치킨,페리카나,충청남도 천안시서북구
치킨,페리카나,대구광역시 달서구
치킨,페리카나,충청북도 충주시
치킨,페리카나,경기도 양주시
치킨,페리카나,경기도 안성시
치킨,페리카나,울산광역시 동구
치킨,페리카나,경기도 김포시
치킨,페리카나,경기도 화성시
치킨,페리카나,광주광역시 광산구
치킨,페리카나,대구광역시 서구
치킨,페리카나,서울특별시 금천구
치킨,페리카나,광주광역시 서구
치킨,페리카나,경기도 시흥시
치킨,페리카나,충청남도 당진시
치킨,페리카나,경기도 여주시
치킨,페리카나,서울특별시 성북구
치킨,페리카나,충청북도 충주시
치킨,페리카나,경상북도 경산시
치킨,페리카나,대전광역시 동구
치킨,페리카나,경기도 부천시오정구
치킨,페리카나,인천광역시 남동구
치킨,페리카나,경기도 하남시
치킨,페리카나,경기도 고양시일산서구
치킨,페리카나,경기도 용인시기흥구
치킨,페리카나,전라남도 고흥군
치킨,페리카나,세종특별자치시 
치킨,페리카나,강원도 강릉시
치킨,페리카나,경기도 안산시상록구
치킨,페리카나,강원도 정선군
치킨,페리카나,부산광역시 연제구
치킨,페리카나,경기도 광주시
치킨,페리카나,인천광역시 연수구
치킨,페리카나,대구광역시 중구
치킨,페리카나,대구광역시 달서구
치킨,페리카나,강원도 원주시
치킨,페리카나,강원도 강릉시
치킨,페리카나,경기도 안성시
치킨,페리카나,충청남도 당진시
치킨,페리카나,경상북도 포항시북구
치킨,페리카나,경기도 안양시만안구
치킨,페리카나,인천광역시 연수구
치킨,페리카나,전라남도 구례군
치킨,페리카나,경기도 안산시단원구
치킨,페리카나,서울특별시 마포구
치킨,페리카나,경기도 남양주시
치킨,페리카나,서울특별시 노원구
치킨,페리카나,광주광역시 동구
치킨,페리카나,경기도 평택시
치킨,페리카나,울산광역시 울주군
치킨,페리카나,서울특별시 성북구
치킨,페리카나,충청북도 제천시
치킨,페리카나,경기도 고양시덕양구
치킨,페리카나,서울특별시 송파구
치킨,페리카나,경기도 시흥시
치킨,페리카나,서울특별시 마포구
치킨,페리카나,경기도 파주시
치킨,페리카나,경상북도 영덕군
치킨,페리카나,전라북도 익산시
치킨,페리카나,충청남도 당진시
치킨,페리카나,충청남도 당진시
치킨,페리카나,충청남도 천안시동남구
치킨,페리카나,충청남도 공주시
치킨,페리카나,제주특별자치도 서귀포시
치킨,페리카나,전라북도 군산시
치킨,페리카나,서울특별시 동대문구
치킨,페리카나,제주특별자치도 서귀포시
치킨,페리카나,경상남도 남해군
치킨,페리카나,경기도 파주시
치킨,페리카나,서울특별시 성북구
치킨,페리카나,서울특별시 강동구
치킨,페리카나,충청남도 당진시
치킨,페리카나,경기도 수원시영통구
치킨,페리카나,경기도 고양시일산동구
치킨,페리카나,부산광역시 부산진구
치킨,페리카나,경기도 시흥시
치킨,페리카나,충청북도 청주시흥덕구
치킨,페리카나,경기도 안양시동안구
치킨,페리카나,울산광역시 북구
치킨,페리카나,충청북도 청주시서원구
치킨,페리카나,경상북도 경주시
치킨,페리카나,대전광역시 대덕구
치킨,페리카나,서울특별시 성북구
치킨,페리카나,서울특별시 동작구
치킨,페리카나,서울특별시 성동구
치킨,페리카나,울산광역시 동구
치킨,페리카나,경기도 김포시
치킨,페리카나,경기도 수원시권선구
치킨,페리카나,대전광역시 서구
치킨,페리카나,경기도 군포시
치킨,페리카나,인천광역시 미추홀구
치킨,페리카나,경기도 이천시
치킨,페리카나,인천광역시 남동구
치킨,페리카나,대구광역시 달서구
치킨,페리카나,경기도 화성시
치킨,페리카나,경상남도 산청군
치킨,페리카나,서울특별시 강동구
치킨,페리카나,경기도 오산시
치킨,페리카나,경기도 부천시원미구
치킨,페리카나,강원도 정선군
치킨,페리카나,충청남도 보령시
치킨,페리카나,경상북도 청도군
치킨,페리카나,서울특별시 강서구
치킨,페리카나,충청북도 진천군
치킨,페리카나,광주광역시 광산구
치킨,페리카나,대전광역시 대덕구
치킨,페리카나,전라북도 전주시덕진구
치킨,페리카나,대전광역시 대덕구
치킨,페리카나,경상북도 영주시
치킨,페리카나,서울특별시 광진구
치킨,페리카나,경상북도 경주시
치킨,페리카나,경기도 오산시
치킨,페리카나,충청북도 제천시
치킨,페리카나,경기도 고양시일산서구
치킨,페리카나,경기도 성남시분당구
치킨,페리카나,전라남도 함평군
치킨,페리카나,경기도 화성시
치킨,페리카나,경기도 용인시처인구
치킨,페리카나,경기도 이천시
치킨,페리카나,경기도 안양시동안구
치킨,페리카나,인천광역시 부평구
치킨,페리카나,경기도 부천시소사구
치킨,페리카나,인천광역시 연수구
치킨,페리카나,대구광역시 서구
치킨,페리카나,충청남도 천안시서북구
치킨,페리카나,충청남도 서산시
치킨,페리카나,서울특별시 서대문구
치킨,페리카나,광주광역시 광산구
치킨,페리카나,경기도 포천시
치킨,페리카나,강원도 강릉시
치킨,페리카나,광주광역시 북구
치킨,페리카나,인천광역시 남동구
치킨,페리카나,경기도 양평군
치킨,페리카나,부산광역시 동래구
치킨,페리카나,울산광역시 북구
치킨,페리카나,경기도 이천시
치킨,페리카나,전라남도 장흥군
치킨,페리카나,전라남도 구례군
치킨,페리카나,대구광역시 북구
치킨,페리카나,인천광역시 서구
치킨,페리카나,울산광역시 동구
치킨,페리카나,경기도 평택시
치킨,페리카나,진보점
치킨,페리카나,서울특별시 성동구
치킨,페리카나,경기도 양평군
치킨,페리카나,경기도 남양주시
치킨,페리카나,경기도 안양시동안구
치킨,페리카나,인천광역시 동구
치킨,페리카나,경기도 성남시수정구
치킨,페리카나,경기도 안산시단원구
치킨,페리카나,충청남도 홍성군
치킨,페리카나,경기도 안양시동안구
치킨,페리카나,전라북도 익산시
치킨,페리카나,대전광역시 중구
치킨,페리카나,충청북도 청주시흥덕구
치킨,페리카나,대구광역시 북구
치킨,페리카나,경기도 안양시동안구
치킨,페리카나,울산광역시 중구
치킨,페리카나,경기도 용인시처인구
치킨,페리카나,경기도 수원시장안구
치킨,페리카나,경기도 고양시일산서구
치킨,페리카나,서울특별시 강동구
치킨,페리카나,충청북도 청주시흥덕구
치킨,페리카나,경기도 광주시
치킨,페리카나,서울특별시 도봉구
치킨,페리카나,경기도 안양시만안구
치킨,페리카나,인천광역시 부평구
치킨,페리카나,강원도 태백시
치킨,페리카나,경기도 광명시
치킨,페리카나,경기도 광명시
치킨,페리카나,경기도 수원시권선구
치킨,페리카나,대구광역시 서구
치킨,페리카나,경기도 용인시수지구
치킨,페리카나,경상북도 포항시남구
치킨,페리카나,대전광역시 서구
치킨,페리카나,충청북도 충주시
치킨,페리카나,강원도 원주시
치킨,페리카나,인천광역시 서구
치킨,페리카나,경상남도 통영시
치킨,페리카나,전라북도 무주군
치킨,페리카나,충청남도 아산시
치킨,페리카나,경기도 연천군
치킨,페리카나,경기도 남양주시
치킨,페리카나,경기도 의정부시
치킨,페리카나,충청남도 천안시서북구
치킨,페리카나,인천광역시 부평구
치킨,페리카나,경기도 여주시
치킨,페리카나,충청북도 청주시상당구
치킨,페리카나,경기도 이천시
치킨,페리카나,경기도 성남시분당구
치킨,페리카나,서울특별시 중랑구
치킨,페리카나,충청남도 금산군
치킨,페리카나,서울특별시 영등포구
치킨,페리카나,경기도 남양주시
치킨,페리카나,강원도 원주시
치킨,페리카나,경상북도 포항시남구
치킨,페리카나,서울특별시 중랑구
치킨,페리카나,강원도 춘천시
치킨,페리카나,부산광역시 사상구
치킨,페리카나,세종특별자치시 
치킨,페리카나,부산광역시 영도구
치킨,페리카나,충청북도 청주시서원구
치킨,페리카나,충청남도 계룡시
치킨,페리카나,대구광역시 달서구
치킨,페리카나,서울특별시 송파구
치킨,페리카나,경기도 용인시기흥구
치킨,페리카나,서울특별시 강서구
치킨,페리카나,제주특별자치도 서귀포시
치킨,페리카나, 
치킨,페리카나,경기도 광주시
치킨,페리카나,경기도 수원시장안구
치킨,페리카나,경기도 안성시
치킨,페리카나,경기도 의정부시
치킨,페리카나,대전광역시 중구
치킨,페리카나,서울특별시 송파구
치킨,페리카나,충청남도 예산군
치킨,페리카나,경기도 고양시덕양구
치킨,페리카나,충청남도 공주시
치킨,페리카나,경기도 화성시
치킨,페리카나,충청남도 당진시
치킨,페리카나,서울특별시 광진구
치킨,페리카나,강원도 홍천군
치킨,페리카나,전라북도 익산시
치킨,페리카나,강원도 홍천군
치킨,페리카나,강원도 인제군
치킨,페리카나,울산광역시 중구
치킨,페리카나,경기도 광주시
치킨,페리카나,경기도 안산시상록구
치킨,페리카나,서울특별시 마포구
치킨,페리카나,서울특별시 구로구
치킨,페리카나,대전광역시 동구
치킨,페리카나,경기도 화성시
치킨,페리카나,대구광역시 서구
치킨,페리카나,경기도 안산시상록구
치킨,페리카나,서울특별시 송파구
치킨,페리카나,부산광역시 금정구
치킨,페리카나,경기도 광주시
치킨,페리카나,광주광역시 서구
치킨,페리카나,경기도 고양시덕양구
치킨,페리카나,경기도 연천군
치킨,페리카나,제주특별자치도 제주시
치킨,페리카나,경기도 남양주시
치킨,페리카나,경기도 광주시
치킨,페리카나,대구광역시 달서구
치킨,페리카나,강원도 속초시
치킨,페리카나,서울특별시 송파구
치킨,페리카나,강원도 속초시
치킨,페리카나,강원도 평창군
치킨,페리카나,충청북도 청주시청원구
치킨,페리카나,강원도 원주시
치킨,페리카나,충청남도 서산시
치킨,페리카나,강원도 횡성군
치킨,페리카나,충청남도 당진시
치킨,페리카나,경기도 시흥시
치킨,페리카나,경기도 화성시
치킨,페리카나,충청북도 청주시상당구
치킨,페리카나,대구광역시 수성구
치킨,페리카나,경기도 연천군
치킨,페리카나,경기도 안양시동안구
치킨,페리카나,서울특별시 영등포구
치킨,페리카나,서울특별시 구로구
치킨,페리카나,경기도 수원시영통구
치킨,페리카나,서울특별시 서초구
치킨,페리카나,충청북도 제천시
치킨,페리카나,부산광역시 기장군
치킨,페리카나,충청북도 청주시서원구
치킨,페리카나,부산광역시 북구
치킨,페리카나,세종특별자치시 
치킨,페리카나,전라북도 전주시완산구
치킨,페리카나,서울특별시 구로구
치킨,페리카나,서울특별시 광진구
치킨,페리카나,충청남도 천안시동남구
치킨,페리카나,경기도 평택시
치킨,페리카나,충청북도 제천시
치킨,페리카나,대구광역시 북구
치킨,페리카나,경기도 이천시
치킨,페리카나,경기도 수원시권선구
치킨,페리카나,경기도 성남시중원구
치킨,페리카나,경기도 의정부시
치킨,페리카나,강원도 원주시
치킨,페리카나,경기도 부천시원미구
치킨,페리카나,경기도 이천시
치킨,페리카나,강원도 속초시
치킨,페리카나,인천광역시 남동구
치킨,페리카나,충청북도 괴산군
치킨,페리카나,대전광역시 동구
치킨,페리카나,서울특별시 강남구
치킨,페리카나,경기도 부천시원미구
치킨,페리카나,강원도 영월군
치킨,페리카나,경기도 성남시분당구
치킨,페리카나,서울특별시 광진구
치킨,페리카나,경기도 의정부시
치킨,페리카나,경기도 광주시
치킨,페리카나,경기도 안산시상록구
치킨,페리카나,인천광역시 미추홀구
치킨,페리카나,충청북도 충주시
치킨,페리카나,서울특별시 양천구
치킨,페리카나,경상북도 포항시북구
치킨,페리카나,경상북도 포항시남구
치킨,페리카나,경상북도 경산시
치킨,페리카나,충청남도 예산군
치킨,페리카나,인천광역시 강화군
치킨,페리카나,경기도 군포시
